rank,state
01,DC
01,NJ
02,RI
03,MA
04,CT
05,MD
06,DE
07,NY
08,FL
09,PA
10,OH
11,CA
12,IL
13,HI
14,VA
15,NC
16,IN
17,MI
18,GA
19,SC
20,TN
21,NH
22,KY
23,WI
24,LA
25,WA
26,TX
27,AL
28,MO
29,WV
30,VT
31,MN
32,MS
33,AZ
34,AR
35,OK
36,IA
37,CO
38,ME
39,OR
40,KS
41,UT
42,NV
43,NE
44,ID
45,NM
46,SD
47,ND
48,MT
49,WY
50,AL
